DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches
ARR,2024-10-07,138,13815,0,1,ZL,CO,2,GTW,3.0
ARR,2024-10-07,138,13817,0,1,ZL,CO,2,GTW,3.0
ARR,2024-10-07,138,13824,0,1,EMN,ZL,2,GTW,3.0
ARR,2024-10-07,138,13826,0,1,EMN,ZL,2,GTW,3.0
ARR,2024-10-07,138,13828,0,1,EMN,ZL,2,GTW,3.0
ARR,2024-10-07,138,13841,0,1,ZL,CO,2,GTW,3.0
ARR,2024-10-07,138,13843,0,1,ZL,CO,2,GTW,3.0
ARR,2024-10-07,138,13845,0,1,ZL,CO,2,GTW,3.0
ARR,2024-10-07,138,13847,0,1,ZL,CO,2,GTW,3.0
ARR,2024-10-07,138,13849,0,1,ZL,CO,2,GTW,3.0
ARR,2024-10-07,138,13851,0,1,ZL,EMN,3,GTW,3.0
ARR,2024-10-07,138,13853,0,1,ZL,EMN,2,GTW,3.0
ARR,2024-10-07,138,13855,0,1,ZL,EMN,2,GTW,3.0
ARR,2024-10-07,138,13830,0,3,CO,ZL,2,GTW,3.0
ARR,2024-10-07,138,13832,0,3,CO,ZL,2,GTW,3.0
ARR,2024-10-07,138,13856,0,3,CO,ZL,2,GTW,3.0
ARR,2024-10-07,138,13858,0,3,CO,ZL,2,GTW,3.0
ARR,2024-10-07,138,13860,0,3,CO,ZL,2,GTW,3.0
ARR,2024-10-07,138,13862,0,3,CO,ZL,2,GTW,3.0
ARR,2024-10-07,138,13864,0,3,CO,ZL,2,GTW,3.0
ARR,2024-10-07,178,17806,0,1,ZP,APD,2,GTW,4.0
ARR,2024-10-07,178,17810,0,1,ZP,APD,2,GTW,4.0
ARR,2024-10-07,178,17812,0,1,ZP,APD,3,GTW,3.0
ARR,2024-10-07,178,17813,0,1,APD,ZP,2,GTW,4.0
ARR,2024-10-07,178,17814,0,1,ZP,APD,3,GTW,4.0
ARR,2024-10-07,178,17815,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17816,0,1,ZP,APD,3,GTW,3.0
ARR,2024-10-07,178,17817,0,1,APD,ZP,2,GTW,4.0
ARR,2024-10-07,178,17818,0,1,ZP,APD,3,GTW,2.0
ARR,2024-10-07,178,17819,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17820,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17821,0,1,APD,ZP,2,GTW,4.0
ARR,2024-10-07,178,17822,0,1,ZP,APD,2,GTW,2.0
ARR,2024-10-07,178,17823,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17824,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17825,0,1,APD,ZP,2,GTW,2.0
ARR,2024-10-07,178,17826,0,1,ZP,APD,2,GTW,2.0
ARR,2024-10-07,178,17827,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17828,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17829,0,1,APD,ZP,2,GTW,2.0
ARR,2024-10-07,178,17830,0,1,ZP,APD,2,GTW,2.0
ARR,2024-10-07,178,17831,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17832,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17833,0,1,APD,ZP,2,GTW,2.0
ARR,2024-10-07,178,17834,0,1,ZP,APD,2,GTW,2.0
ARR,2024-10-07,178,17835,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17836,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17837,0,1,APD,ZP,2,GTW,2.0
ARR,2024-10-07,178,17838,0,1,ZP,APD,2,GTW,2.0
ARR,2024-10-07,178,17839,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17840,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17841,0,1,APD,ZP,2,GTW,2.0
ARR,2024-10-07,178,17842,0,1,ZP,APD,2,GTW,2.0
ARR,2024-10-07,178,17843,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17844,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17845,0,1,APD,ZP,3,GTW,2.0
ARR,2024-10-07,178,17846,0,1,ZP,APD,2,GTW,2.0
ARR,2024-10-07,178,17847,0,1,APD,ZP,2,GTW,3.0
ARR,2024-10-07,178,17848,0,1,ZP,APD,2,GTW,3.0
ARR,2024-10-07,178,17849,0,1,APD,ZP,3,GTW,2.0
