DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches
QBUZZ,2024-10-07,0,7112,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7114,0,1,Gr,Ddr,1,GTW,5
QBUZZ,2024-10-07,0,7116,0,1,Gr,Ddr,1,GTW,5
QBUZZ,2024-10-07,0,7117,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7118,0,1,Gr,Ddr,1,GTW,5
QBUZZ,2024-10-07,0,7119,0,1,Ddr,Gr,1,GTW,4
QBUZZ,2024-10-07,0,7120,0,1,Gr,Ddr,1,GTW,5
QBUZZ,2024-10-07,0,7121,0,1,Ddr,Gr,1,GTW,5
QBUZZ,2024-10-07,0,7122,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7123,0,1,Ddr,Gr,1,GTW,5
QBUZZ,2024-10-07,0,7124,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7125,0,1,Ddr,Gr,1,GTW,5
QBUZZ,2024-10-07,0,7126,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7127,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7128,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7129,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7130,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7131,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7132,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7133,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7134,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7135,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7136,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7137,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7138,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7139,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7140,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7141,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7142,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7143,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7144,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7145,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7146,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7147,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7148,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7149,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7150,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7151,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7152,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7153,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7154,0,1,Gr,Ddr,1,GTW,5
QBUZZ,2024-10-07,0,7155,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7156,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7157,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7158,0,1,Gr,Ddr,1,GTW,5
QBUZZ,2024-10-07,0,7159,0,1,Ddr,Gr,1,GTW,5
QBUZZ,2024-10-07,0,7160,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7161,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7162,0,1,Gr,Ddr,1,GTW,5
QBUZZ,2024-10-07,0,7163,0,1,Ddr,Gr,1,GTW,5
QBUZZ,2024-10-07,0,7164,0,1,Gr,Ddr,1,GTW,2
QBUZZ,2024-10-07,0,7165,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7167,0,1,Ddr,Gr,1,GTW,5
QBUZZ,2024-10-07,0,7169,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7176,0,1,Gr,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7177,0,1,Ddr,Gr,1,GTW,2
QBUZZ,2024-10-07,0,7180,0,1,Gr,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7181,0,1,Ddr,Gr,1,GTW,3
QBUZZ,2024-10-07,0,7184,0,1,Gr,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7185,0,1,Ddr,Gr,1,GTW,3
QBUZZ,2024-10-07,0,7188,0,1,Gr,Ddr,1,GTW,8
QBUZZ,2024-10-07,0,7189,0,1,Ddr,Gr,1,GTW,3
QBUZZ,2024-10-07,0,7193,0,1,Ddr,Gr,1,GTW,3
QBUZZ,2024-10-07,0,7210,0,1,Gr,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7212,0,1,Gr,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7214,0,1,Gdm,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7215,0,1,Ddr,Gdm,1,GTW,6
QBUZZ,2024-10-07,0,7216,0,1,Gdm,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7217,0,1,Ddr,Gdm,1,GTW,3
QBUZZ,2024-10-07,0,7218,0,1,Gdm,Ddr,1,GTW,6
QBUZZ,2024-10-07,0,7219,0,1,Ddr,Gdm,1,GTW,6
QBUZZ,2024-10-07,0,7220,0,1,Gdm,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7221,0,1,Ddr,Gdm,1,GTW,3
QBUZZ,2024-10-07,0,7222,0,1,Gdm,Ddr,1,GTW,3
QBUZZ,2024-10-07,0,7223,0,1,Ddr,Gdm,1,GTW,3
