,uic,Station,Code,Lat-coord,Lng-coord,Type,Type code,Randstad
0,8400319,'s-Hertogenbosch,HT,51.69048,5.29362,knooppuntIntercitystation,1,0.0
1,8400320,'s-Hertogenbosch Oost,HTO,51.700553894043,5.3183331489563,stoptreinstation,0,0.0
2,8400388,'t Harde,HDE,52.4091682,5.893611,stoptreinstation,0,0.0
3,8015345,Aachen Hbf,AHBF,50.7678,6.091499,knooppuntIntercitystation,1,0.0
4,8015199,Aachen West,AW,50.78036,6.070715,stoptreinstation,0,0.0
5,8400045,Aalten,ATN,51.921326524551,6.5786272287369,stoptreinstation,0,0.0
6,8400047,Abcoude,AC,52.2785,4.977,stoptreinstation,0,1.0
7,8021123,Ahaus,EAHS,52.079796120944,7.0163583755493,stoptreinstation,0,0.0
8,8774176,Aime-la-Plagne,AIME,45.55438,6.64869,intercitystation,1,0.0
9,8727149,Airport Charles de Gaulle,ACDG,49.004048,2.571133,knooppuntIntercitystation,1,0.0
10,8731901,Aix-en-Provence TGV,AIXTGV,43.522819077343,5.4453134536743,intercitystation,1,0.0
11,8400049,Akkrum,AKM,53.046390533447,5.843611240387,stoptreinstation,0,0.0
12,8774164,Albertville,ALBERT,45.67302,6.38306,intercitystation,1,0.0
13,8400050,Alkmaar,AMR,52.63777923584,4.7397222518921,knooppuntIntercitystation,1,0.0
14,8400052,Alkmaar Noord,AMRN,52.643890380859,4.7641668319702,stoptreinstation,0,0.0
15,8400051,Almelo,AML,52.358055114746,6.6538887023926,knooppuntIntercitystation,1,0.0
16,8400520,Almelo de Riet,AMRI,52.341945648193,6.6666665077209,stoptreinstation,0,0.0
17,8400081,Almere Buiten,ALMB,52.394165039062,5.2780556678772,stoptreinstation,0,1.0
18,8400080,Almere Centrum,ALM,52.37503,5.21764,knooppuntIntercitystation,1,1.0
19,8400082,Almere Muziekwijk,ALMM,52.367500305176,5.1902775764465,stoptreinstation,0,1.0
20,8400226,Almere Oostvaarders,ALMO,52.403331756592,5.3005557060242,stoptreinstation,0,1.0
21,8400104,Almere Parkwijk,ALMP,52.376667022705,5.244722366333,stoptreinstation,0,1.0
22,8400450,Almere Poort,AMPO,52.342778,5.151944,stoptreinstation,0,1.0
23,8400053,Alphen a/d Rijn,APN,52.124443054199,4.6577777862549,knooppuntIntercitystation,1,1.0
24,8021148,Altenberge,EABG,52.05223,7.481202,stoptreinstation,0,0.0
25,8400055,Amersfoort Centraal,AMF,52.153888702393,5.3705554008484,knooppuntIntercitystation,1,1.0
26,8400054,Amersfoort Schothorst,AMFS,52.174822137451,5.4038887023926,stoptreinstation,0,1.0
27,8400228,Amersfoort Vathorst,AVAT,52.192779541016,5.4338889122009,stoptreinstation,0,1.0
28,8400057,Amsterdam Amstel,ASA,52.346668243408,4.9177780151367,intercitystation,1,1.0
