,Station,Code,Lat-coord,Lng-coord,Randstad
0,'s-Hertogenbosch,HT,51.69048,5.29362,0.0
1,'s-Hertogenbosch Oost,HTO,51.700553894043,5.3183331489563,0.0
2,'t Harde,HDE,52.4091682,5.893611,0.0
3,Aachen Hbf,AHBF,50.7678,6.091499,0.0
4,Aachen West,AW,50.78036,6.070715,0.0
5,Aalten,ATN,51.921326524551,6.5786272287369,0.0
6,Abcoude,AC,52.2785,4.977,1.0
7,Ahaus,EAHS,52.079796120944,7.0163583755493,0.0
8,Aime-la-Plagne,AIME,45.55438,6.64869,0.0
9,Airport Charles de Gaulle,ACDG,49.004048,2.571133,0.0
10,Aix-en-Provence TGV,AIXTGV,43.522819077343,5.4453134536743,0.0
11,Akkrum,AKM,53.046390533447,5.843611240387,0.0
12,Albertville,ALBERT,45.67302,6.38306,0.0
13,Alkmaar,AMR,52.63777923584,4.7397222518921,0.0
14,Alkmaar Noord,AMRN,52.643890380859,4.7641668319702,0.0
15,Almelo,AML,52.358055114746,6.6538887023926,0.0
16,Almelo de Riet,AMRI,52.341945648193,6.6666665077209,0.0
17,Almere Buiten,ALMB,52.394165039062,5.2780556678772,1.0
18,Almere Centrum,ALM,52.37503,5.21764,1.0
19,Almere Muziekwijk,ALMM,52.367500305176,5.1902775764465,1.0
20,Almere Oostvaarders,ALMO,52.403331756592,5.3005557060242,1.0
21,Almere Parkwijk,ALMP,52.376667022705,5.244722366333,1.0
22,Almere Poort,AMPO,52.342778,5.151944,1.0
23,Alphen a/d Rijn,APN,52.124443054199,4.6577777862549,1.0
24,Altenberge,EABG,52.05223,7.481202,0.0
25,Amersfoort Centraal,AMF,52.153888702393,5.3705554008484,1.0
26,Amersfoort Schothorst,AMFS,52.174822137451,5.4038887023926,0.0
27,Amersfoort Vathorst,AVAT,52.192779541016,5.4338889122009,0.0
28,Amsterdam Amstel,ASA,52.346668243408,4.9177780151367,1.0
29,Amsterdam Bijlmer ArenA,ASB,52.3122215271,4.9469442367554,1.0
30,Amsterdam Centraal,ASD,52.378887176514,4.9002776145935,1.0
31,Amsterdam Holendrecht,ASHD,52.29844,4.95972,1.0
32,Amsterdam Lelylaan,ASDL,52.357776641846,4.8338890075684,1.0
33,Amsterdam Muiderpoort,ASDM,52.360553741455,4.9311113357544,1.0
34,Amsterdam RAI,RAI,52.337223052979,4.8902778625488,1.0
35,Amsterdam Science Park,ASSP,52.35526,4.94651,1.0
36,Amsterdam Sloterdijk,ASS,52.388889312744,4.8377776145935,1.0
37,Amsterdam Zuid,ASDZ,52.338889,4.872356,1.0
38,Amstetten NÖ,AMST,48.578476,9.873496,0.0
39,Anna Paulowna,ANA,52.867221832275,4.8111109733581,0.0
40,Antwerpen-Berchem,BERCH,51.198914,4.4332,0.0
41,Antwerpen-Centraal,ATW,51.21686,4.421242,0.0
42,Antwerpen-Luchtbal,ATWLB,51.2449375,4.4251543,0.0
43,Antwerpen-Noorderdokken,ANDD,51.261686,4.4274315,0.0
44,Antwerpen-Zuid,FNZD,51.19785,4.39027,0.0
45,Apeldoorn,APD,52.209167480469,5.9702777862549,0.0
46,Apeldoorn De Maten,APDM,52.205276489258,6.0005555152893,0.0
47,Apeldoorn Osseveld,APDO,52.215278625488,6.0044445991516,0.0
48,Appingedam,APG,53.3258135,6.8619577,0.0
49,Arkel,AKL,51.87194442749,4.9927778244019,1.0
50,Arnemuiden,ARN,51.501667022705,3.6691665649414,0.0
51,Arnhem Centraal,AH,51.985000610352,5.8991665840149,0.0
52,Arnhem Presikhaaf,AHPR,51.988056182861,5.9438886642456,0.0
53,Arnhem Velperpoort,AHP,51.985279083252,5.9194445610046,0.0
54,Arnhem Zuid,AHZ,51.955001831055,5.8519444465637,0.0
55,Assen,ASN,52.991664886475,6.5708332061768,0.0
56,Augsburg Hbf,MA,48.365430714393,10.88547706604,0.0
57,Avignon TGV,AVTGV,43.92194,4.78604,0.0
58,Baarn,BRN,52.208332061768,5.2808332443237,1.0
59,Bad Bentheim,BH,52.309685595156,7.1585369110107,0.0
60,Bad Nieuweschans,NSCH,53.1844,7.19937,0.0
61,Bad Oeynhausen,OEYNH,52.205461,8.796932,0.0
62,Baden (CH),BADENZ,47.47638,8.30772,0.0
63,Baflo,BF,53.3608969,6.5185581,0.0
64,Barendrecht,BRD,51.854721069336,4.5533332824707,1.0
65,Barneveld Centrum,BNC,52.139999389648,5.590277671814,0.0
66,Barneveld Noord,BNN,52.161388397217,5.5980553627014,0.0
67,Barneveld Zuid,BNZ,52.128853,5.60246,0.0
68,Basel Bad Bf,BASELB,47.56815,7.6073,0.0
69,Basel SBB,BASELS,47.5474,7.58956,0.0
70,Bedum,BDM,53.3068857,6.593054,0.0
71,Beek-Elsloo,BK,50.947498321533,5.7866668701172,0.0
