Jaar;Maand;Dag;Uur;Aantal_check_ins;Referentie_pre_COVID_19;Referentie_vorig_jaar;Delta_actueel_pre_COVID_19;Delta_actueel_vorig_jaar
2020;1;1;0;31;115;115;-0.73;-0.73
2020;1;1;1;66;13;13;4;4
2020;1;1;2;77;6;6;12.75;12.75
2020;1;1;3;67;7;7;8.03;8.03
2020;1;1;4;66;20;20;2.27;2.27
2020;1;1;5;84;206;206;-0.59;-0.59
2020;1;1;6;95;1321;1321;-0.93;-0.93
2020;1;1;7;158;4420;4420;-0.96;-0.96
2020;1;1;8;176;4954;4954;-0.96;-0.96
2020;1;1;9;245;2745;2745;-0.91;-0.91
2020;1;1;10;335;2074;2074;-0.84;-0.84
2020;1;1;11;500;2142;2142;-0.77;-0.77
2020;1;1;12;714;2733;2733;-0.74;-0.74
2020;1;1;13;948;2633;2633;-0.64;-0.64
2020;1;1;14;1053;2974;2974;-0.65;-0.65
2020;1;1;15;1073;3595;3595;-0.7;-0.7
2020;1;1;16;1017;4168;4168;-0.76;-0.76
2020;1;1;17;862;4345;4345;-0.8;-0.8
2020;1;1;18;695;2451;2451;-0.72;-0.72
2020;1;1;19;630;1263;1263;-0.5;-0.5
2020;1;1;20;561;910;910;-0.38;-0.38
2020;1;1;21;464;845;845;-0.45;-0.45
2020;1;1;22;367;711;711;-0.48;-0.48
2020;1;1;23;248;407;407;-0.39;-0.39
2020;1;2;0;84;129;129;-0.35;-0.35
2020;1;2;1;10;13;13;-0.29;-0.29
2020;1;2;2;4;5;5;-0.17;-0.17
2020;1;2;3;7;8;8;-0.1;-0.1
2020;1;2;4;18;21;21;-0.11;-0.11
2020;1;2;5;153;214;214;-0.29;-0.29
2020;1;2;6;701;1410;1410;-0.5;-0.5
2020;1;2;7;1528;4664;4664;-0.67;-0.67
2020;1;2;8;1826;5362;5362;-0.66;-0.66
2020;1;2;9;1306;2970;2970;-0.56;-0.56
2020;1;2;10;1229;2180;2180;-0.44;-0.44
2020;1;2;11;1444;2177;2177;-0.34;-0.34
2020;1;2;12;1674;2651;2651;-0.37;-0.37
2020;1;2;13;1823;2666;2666;-0.32;-0.32
2020;1;2;14;1899;3149;3149;-0.4;-0.4
2020;1;2;15;2108;3822;3822;-0.45;-0.45
2020;1;2;16;2565;4415;4415;-0.42;-0.42
2020;1;2;17;2927;4678;4678;-0.37;-0.37
2020;1;2;18;1782;2746;2746;-0.35;-0.35
2020;1;2;19;1103;1501;1501;-0.26;-0.26
2020;1;2;20;897;1091;1091;-0.18;-0.18
2020;1;2;21;835;1059;1059;-0.21;-0.21
2020;1;2;22;645;850;850;-0.24;-0.24
2020;1;2;23;461;530;530;-0.13;-0.13
2020;1;3;0;176;195;195;-0.1;-0.1
2020;1;3;1;20;20;20;-0.02;-0.02
2020;1;3;2;7;8;8;-0.1;-0.1
2020;1;3;3;11;11;11;-0.05;-0.05
2020;1;3;4;24;26;26;-0.1;-0.1
2020;1;3;5;152;195;195;-0.22;-0.22
2020;1;3;6;655;1111;1111;-0.41;-0.41
2020;1;3;7;1421;3903;3903;-0.64;-0.64
2020;1;3;8;1812;4574;4574;-0.6;-0.6
2020;1;3;9;1430;2675;2675;-0.47;-0.47
2020;1;3;10;1334;2117;2117;-0.37;-0.37
2020;1;3;11;1578;2230;2230;-0.29;-0.29
2020;1;3;12;1883;2876;2876;-0.35;-0.35
2020;1;3;13;1963;2895;2895;-0.32;-0.32
2020;1;3;14;2077;3289;3289;-0.37;-0.37
2020;1;3;15;2285;3756;3756;-0.39;-0.39
2020;1;3;16;2637;3949;3949;-0.33;-0.33
2020;1;3;17;2896;4031;4031;-0.28;-0.28
2020;1;3;18;1987;2687;2687;-0.26;-0.26
2020;1;3;19;1288;1632;1632;-0.21;-0.21
2020;1;3;20;1023;1181;1181;-0.13;-0.13
2020;1;3;21;920;1055;1055;-0.13;-0.13
2020;1;3;22;812;993;993;-0.18;-0.18
2020;1;3;23;665;865;865;-0.23;-0.23
2020;1;4;0;316;425;425;-0.26;-0.26
2020;1;4;1;59;87;87;-0.32;-0.32
2020;1;4;2;26;36;36;-0.28;-0.28
2020;1;4;3;22;33;33;-0.33;-0.33
2020;1;4;4;28;37;37;-0.23;-0.23
2020;1;4;5;51;55;55;-0.08;-0.08
2020;1;4;6;127;149;149;-0.15;-0.15
2020;1;4;7;283;341;341;-0.17;-0.17
2020;1;4;8;546;698;698;-0.22;-0.22
2020;1;4;9;814;968;968;-0.16;-0.16
2020;1;4;10;1042;1127;1127;-0.08;-0.08
2020;1;4;11;1331;1418;1418;-0.06;-0.06
2020;1;4;12;1575;1655;1655;-0.05;-0.05
2020;1;4;13;1813;1853;1853;-0.02;-0.02
2020;1;4;14;1835;1887;1887;-0.03;-0.03
2020;1;4;15;1841;1843;1843;0;0
2020;1;4;16;1805;1856;1856;-0.03;-0.03
2020;1;4;17;1666;1772;1772;-0.06;-0.06
2020;1;4;18;1282;1408;1408;-0.09;-0.09
2020;1;4;19;1017;1095;1095;-0.07;-0.07
2020;1;4;20;858;906;906;-0.05;-0.05
2020;1;4;21;738;798;798;-0.07;-0.07
2020;1;4;22;710;816;816;-0.13;-0.13
2020;1;4;23;624;793;793;-0.21;-0.21
2020;1;5;0;337;389;389;-0.13;-0.13
2020;1;5;1;70;84;84;-0.16;-0.16
2020;1;5;2;33;39;39;-0.16;-0.16
2020;1;5;3;32;38;38;-0.16;-0.16
2020;1;5;4;35;40;40;-0.13;-0.13
2020;1;5;5;43;45;45;-0.05;-0.05
2020;1;5;6;47;48;48;-0.03;-0.03
2020;1;5;7;132;131;131;0;0
2020;1;5;8;273;286;286;-0.05;-0.05
2020;1;5;9;494;513;513;-0.04;-0.04
2020;1;5;10;670;691;691;-0.03;-0.03
2020;1;5;11;898;926;926;-0.03;-0.03
2020;1;5;12;1115;1131;1131;-0.01;-0.01
2020;1;5;13;1304;1308;1308;0;0
2020;1;5;14;1352;1330;1330;0.02;0.02
2020;1;5;15;1352;1335;1335;0.01;0.01
2020;1;5;16;1356;1321;1321;0.03;0.03
2020;1;5;17;1275;1275;1275;0;0
2020;1;5;18;1001;1075;1075;-0.07;-0.07
2020;1;5;19;854;936;936;-0.09;-0.09
2020;1;5;20;737;770;770;-0.04;-0.04
2020;1;5;21;609;629;629;-0.03;-0.03
2020;1;5;22;453;464;464;-0.02;-0.02
2020;1;5;23;261;282;282;-0.08;-0.08
2020;1;6;0;79;82;82;-0.04;-0.04
2020;1;6;1;9;9;9;-0.03;-0.03
2020;1;6;2;5;4;4;0.03;0.03
2020;1;6;3;7;6;6;0.06;0.06
2020;1;6;4;20;18;18;0.11;0.11
2020;1;6;5;229;220;220;0.04;0.04
2020;1;6;6;1427;1442;1442;-0.01;-0.01
2020;1;6;7;4138;4605;4605;-0.1;-0.1
2020;1;6;8;4790;5145;5145;-0.07;-0.07
2020;1;6;9;2862;2787;2787;0.03;0.03
2020;1;6;10;2084;2110;2110;-0.01;-0.01
2020;1;6;11;2072;2111;2111;-0.02;-0.02
2020;1;6;12;2417;2547;2547;-0.05;-0.05
2020;1;6;13;2367;2471;2471;-0.04;-0.04
2020;1;6;14;2802;2931;2931;-0.04;-0.04
2020;1;6;15;3574;3693;3693;-0.03;-0.03
2020;1;6;16;4387;4353;4353;0.01;0.01
2020;1;6;17;4758;4671;4671;0.02;0.02
2020;1;6;18;2387;2487;2487;-0.04;-0.04
2020;1;6;19;1127;1204;1204;-0.06;-0.06
